	feature_id	axis	embed_type	values
250	NH4_C22:5 CE	0	metabolite	0.6022709012031555
251	NH4_C22:6 CE	0	metabolite	1.658199429512024
252	NH4_C32:1 DAG	0	metabolite	1.5841044187545776
253	NH4_C32:2 DAG	0	metabolite	0.9291890263557434
254	NH4_C34:1 DAG	0	metabolite	0.08802216500043869
255	NH4_C34:2 DAG	0	metabolite	1.2836183309555054
256	NH4_C34:3 DAG	0	metabolite	1.7827166318893433
257	NH4_C36:0 DAG	0	metabolite	0.9163157343864441
258	NH4_C36:1 DAG	0	metabolite	0.8559982776641846
259	NH4_C36:2 DAG	0	metabolite	0.4371815323829651
260	NH4_C36:3 DAG	0	metabolite	-0.37213951349258423
261	NH4_C36:4 DAG	0	metabolite	0.9689176678657532
262	NH4_C38:4 DAG	0	metabolite	2.720966339111328
263	NH4_C38:5 DAG	0	metabolite	2.494870185852051
264	NH4_C42:0 TAG	0	metabolite	0.5145639181137085
265	NH4_C44:0 TAG	0	metabolite	2.3651416301727295
266	NH4_C44:1 TAG	0	metabolite	2.327294111251831
267	NH4_C44:2 TAG	0	metabolite	2.424192190170288
268	NH4_C46:0 TAG	0	metabolite	1.3496177196502686
269	NH4_C46:1 TAG	0	metabolite	2.1211774349212646
270	NH4_C46:2 TAG	0	metabolite	2.9250309467315674
271	NH4_C46:3 TAG	0	metabolite	2.920492649078369
272	NH4_C48:0 TAG	0	metabolite	1.3990964889526367
273	NH4_C48:1 TAG	0	metabolite	0.0931716337800026
274	NH4_C48:2 TAG	0	metabolite	2.16860294342041
275	NH4_C48:3 TAG	0	metabolite	1.646688461303711
276	NH4_C48:4 TAG	0	metabolite	2.6572999954223633
277	NH4_C49:1 TAG	0	metabolite	2.8929600715637207
278	NH4_C50:0 TAG	0	metabolite	1.5195214748382568
279	NH4_C50:1 TAG	0	metabolite	1.659692645072937
280	NH4_C50:2 TAG	0	metabolite	0.2536088526248932
281	NH4_C50:3 TAG	0	metabolite	1.1971427202224731
282	NH4_C50:4 TAG	0	metabolite	1.8668347597122192
283	NH4_C50:5 TAG	0	metabolite	2.0305511951446533
284	NH4_C51:0 TAG	0	metabolite	2.150617837905884
285	NH4_C51:1 TAG	0	metabolite	1.729554295539856
286	NH4_C51:2 TAG	0	metabolite	1.1092424392700195
287	NH4_C51:3 TAG	0	metabolite	2.6060373783111572
288	NH4_C52:0 TAG	0	metabolite	0.8608782887458801
289	NH4_C52:1 TAG	0	metabolite	0.6111905574798584
290	NH4_C52:2 TAG	0	metabolite	0.5728864669799805
291	NH4_C52:3 TAG	0	metabolite	0.20772577822208405
292	NH4_C52:4 TAG	0	metabolite	0.12236572802066803
293	NH4_C52:5 TAG	0	metabolite	0.8640031218528748
294	NH4_C52:6 TAG	0	metabolite	0.8077542185783386
295	NH4_C53:2 TAG	0	metabolite	2.2258975505828857
296	NH4_C53:3 TAG	0	metabolite	1.0981576442718506
297	NH4_C54:2 TAG	0	metabolite	0.7413236498832703
298	NH4_C54:3 TAG	0	metabolite	0.13597625494003296
299	NH4_C54:4 TAG	0	metabolite	0.7809121012687683
300	NH4_C54:5 TAG	0	metabolite	0.15800508856773376
301	NH4_C54:6 TAG	0	metabolite	-0.25902557373046875
302	NH4_C56:1 TAG	0	metabolite	1.2143436670303345
303	NH4_C56:2 TAG	0	metabolite	0.12043555825948715
304	NH4_C56:3 TAG	0	metabolite	1.6565347909927368
